"Item Label","URI","Citation URI","Project","Project URI","Context","Context [2]","Context [3]","Context [4]","Context [5]","Context [6]","Early BCE/CE","Late BCE/CE","Context [7]","Context [8]","Context [9]","Context URI","Latitude (WGS 84)","Longitude (WGS 84)","Item Category","icon","Thumbnail","Published Date","Updated Date"
"Drawing d-ss-002","http://opencontext.org/media/37861659-67ac-4864-b93a-0300411e6b1e","https://n2t.net/ark:/28722/k25q56k1w","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Southwest","","","","","","https://opencontext.org/subjects/77687f43-465b-474e-baa5-2b659183f630","29.97519942545788","31.137315191486188","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-ss-002.jpg","2017-12-23T01:04:04Z","2025-04-02T11:23:58Z"
"Drawing d-ss-003","http://opencontext.org/media/cd517646-6128-4402-8855-f1bee518b3d9","https://n2t.net/ark:/28722/k28g8wg7c","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx South","","","","","","https://opencontext.org/subjects/7b877302-8848-4b01-8eaa-7e12489dbf2c","29.975156376167206","31.137621924489302","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-ss-003.jpg","2017-12-23T01:04:04Z","2025-04-02T11:23:58Z"
"Drawing d-ss-004","http://opencontext.org/media/a7c7b369-9799-484f-959f-a09c9ea19614","https://n2t.net/ark:/28722/k20z7fw0z","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Southeast","","","","","","https://opencontext.org/subjects/548fe116-251f-4bc5-86fd-97804dcc616d","29.97510631209676","31.137930070235992","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-ss-004.jpg","2017-12-23T01:04:05Z","2025-04-02T11:23:59Z"
"Drawing d-e-047","http://opencontext.org/media/d32b9d1c-007d-4c17-ab46-e1e53cd8be24","https://n2t.net/ark:/28722/k2cv4sq7g","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx East","","","East Chapel","Removal 17","","https://opencontext.org/subjects/9b280f48-d091-45c2-aa21-0edbb06dc810","29.975266248301207","31.13786131886295","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-e-047.jpg","2017-12-23T01:01:49Z","2025-04-02T11:23:21Z"
"Drawing d-ss-012","http://opencontext.org/media/81c6c324-666d-4af9-8735-1c5851e97110","https://n2t.net/ark:/28722/k2z03d74g","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Statue","","","","","","https://opencontext.org/subjects/b4864cbd-1fb8-42e5-9af5-58488ddc7a4b","29.975268482186262","31.13761011274832","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-ss-012.jpg","2017-12-23T01:04:10Z","2025-04-02T11:24:00Z"
"Drawing d-e-044","http://opencontext.org/media/48fc9efc-3f1c-4973-826e-0835afcc9501","https://n2t.net/ark:/28722/k25d93d1t","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx East","","","East Chapel","","","https://opencontext.org/subjects/c47c26c5-c9c7-402d-be8d-588bb0f3ac53","29.975266248301207","31.13786131886295","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-e-044.jpg","2017-12-23T01:01:47Z","2025-04-02T11:23:20Z"
"Drawing d-sa-003","http://opencontext.org/media/115e126d-ae95-4faa-abd5-61037ad386b1","https://n2t.net/ark:/28722/k26q27g14","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Khafre Causeway","","","","","","","","https://opencontext.org/subjects/224776e9-839c-431a-aaf2-ed401f945b9e","29.975368162791604","31.135778716099114","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings-B/d-sa-003.jpg","2017-12-23T01:03:59Z","2025-04-02T11:23:56Z"
"Drawing d-ne-008","http://opencontext.org/media/7e8ca0a8-cdf7-48ff-a401-e67489037c69","https://n2t.net/ark:/28722/k21j9p68p","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Northeast","","","Feature FNEh5","","","https://opencontext.org/subjects/e975b2bc-0184-430c-8543-ef9369e3fd8e","29.975383029433967","31.13792855839629","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png","2017-11-14T20:44:20Z","2025-04-02T11:23:41Z"
"Drawing d-ne-011","http://opencontext.org/media/399dc4c8-41c3-467c-84b6-876007c7666e","https://n2t.net/ark:/28722/k2hm5hj0r","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Northeast","","","Feature FNEh14","","","https://opencontext.org/subjects/c9a61cac-2343-4b6f-8b30-fddd4191e77b","29.975383029433967","31.13792855839629","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png","2017-11-14T20:44:04Z","2025-04-02T11:23:41Z"
"Drawing d-ne-003","http://opencontext.org/media/3f1439fa-6844-4b1d-a596-415cdc3f89b2","https://n2t.net/ark:/28722/k2v129j87","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Northeast","","","Feature FNEc14","","","https://opencontext.org/subjects/b43e78a5-db1e-416b-bcdd-70b726a0fea6","29.975383029433967","31.13792855839629","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://opencontext.org/static/oc/images/icons/pdf-noun-89522.png","2017-11-14T20:44:06Z","2025-04-02T11:23:40Z"
